#Table1
objid,ra,dec,specobjid,ra1,dec1
1237678906786841173,10.0260641795434,10.0715756192306,12437979964577699840,10.026064,10.071576
1237678859549606647,10.0262231365051,12.8074118266542,6982951723888564224,10.026223,12.80741
1237678919135199943,10.0268395600241,12.077837217029,6981953640866273280,10.026836,12.077837
1237678919672136114,10.1851401816881,12.5755705380947,6982947050964146176,10.185135,12.575573
1237678919672201608,10.3068883677365,12.6546919986319,6982938529749030912,10.306885,12.654696
1237678859012997926,10.5767010995559,12.379099689787,6982923961219962880,10.576698,12.379095
1237679319630741868,10.57694480968,10.6683281175587,6986327223260436480,10.576946,10.668328
1237679319093871157,10.577220715205,10.3659129467055,6368105091044759552,10.577221,10.36591
1237679319093936341,10.7006500022839,10.2322129783806,5114066173160609792,10.700652,10.232213
1237678919135593257,10.9814739330631,12.1885017697044,12432276248646146048,10.981474,12.188502
1237678919135593127,10.9815713617905,12.1658339151103,6982889876359501824,10.981568,12.165832
1237678919135592944,10.9830836561651,12.1247982918993,6982889326603687936,10.98308,12.124796
1237678919672464238,10.9832926196525,12.4959131466416,6986375876649965568,10.983289,12.495911
1237678859013259526,11.114088999347,12.3553363264842,12432268552064751616,11.114089,12.355336
1237679320167940546,11.2495992120917,11.0488275641469,6986295612301137920,11.249598,11.048825
1237678907324235896,11.2510098319595,10.4763574576482,5114101907288512512,11.25101,10.476358
1237678857939583412,11.2512867093545,11.4377772871578,6986405838341822464,11.251285,11.437778
1237678907324236458,11.2513310829282,10.4479050023122,6986301109859276800,11.251327,10.447903
1237678918062047978,11.3965124421157,11.2454902423758,6986411885655775232,11.396511,11.245488
1237678918062047543,11.3967180165267,11.2010681557221,6986412435411589120,11.39672,11.201067
1237678857939648710,11.3973020035205,11.4903447907468,6986409136876705792,11.397301,11.490346
1237678906787496796,11.5408871353911,10.0848278987283,12438068475263735808,11.540887,10.084828
1237678859013456405,11.6836024997517,12.3773633541264,12432235566715918336,11.683602,12.377363
1237678907324498246,11.8424353772136,10.5480440955895,6986256579638351872,11.842434,10.548043
1237678859013586977,11.9809686978674,12.3282528087067,12432212202093828096,11.980969,12.328253
1237678906787692890,11.982087256419,10.1185779280236,12438077821112571904,11.982087,10.118578
1237678859013587694,11.9825076885941,12.3025345496693,6986441847347632128,11.982505,12.30253
1237678920209858869,12.1284986535935,12.9952486766454,6983104281126918144,12.1285,12.995252
1237679320168268073,12.1287520644292,11.0335814526401,6986242011109283840,12.128752,11.033581
1237678919673119127,12.4617459522158,12.4063912484764,6987450375361288192,12.461751,12.406388
1237678918599442759,12.6467019991688,11.5974861838343,6424531481801283584,12.646699,11.597489
