#Table1
specobjid,ra,dec
6982932482435078144,10.437444,11.807904
6368099043730806784,10.437814,10.90436
5114041434148984832,10.43831,10.704793
6986338768132528128,10.440059,10.823407
6982931657801357312,10.448995,11.717435
6368100418120341504,10.449629,10.859556
12432305660582189056,10.450129,12.942965
12432303186681026560,10.450528,12.588083
6982927809510660096,10.451103,12.541827
6986337943498807296,10.452152,11.098446
6981709274407000064,10.455348,10.997949
6368096569829644288,10.455676,10.679355
6982930833167636480,10.456073,11.53974
12437988485792815104,10.456453,10.036261
12432310608384514048,10.456573,12.385624
6981972057686038528,10.456884,11.446935
12432312257651955712,10.458133,12.517963
6982934956336240640,10.458709,12.345889
5114042808538519552,10.459403,10.747963
6982928634144380928,10.461004,12.859527
6982926984876939264,10.461427,12.696126
6982934681458333696,10.46383,12.254818
6986348938615085056,10.463865,12.074015
6986350313004619776,10.465286,12.001422
6982927259754846208,10.467427,12.495482
6368097669341272064,10.469453,10.517212
6982925335609497600,10.469497,12.558002
6986340692277876736,10.47005,11.107207
6983022917266462720,10.471382,12.959106
6986348663737178112,10.471959,12.099171
6982926435121125376,10.473004,12.681714
6368096844707551232,10.473533,10.796371
12432303736436840448,10.475005,12.721521
6368095745195923456,10.476225,10.715966
6982929183900194816,10.476568,12.876451
6368351381649381376,10.477236,11.924614
6368363751155193856,10.48115,11.25819
6368096294951737344,10.481274,10.814344
6986335744475551744,10.484947,10.657324
6982935506092054528,10.485177,12.387506
6986333270574389248,10.485826,10.52789
6986350587882526720,10.486351,12.036591
6986338493254621184,10.492589,10.82251
6982927534632753152,10.493694,12.47115
6982932757312985088,10.494753,11.762424
6368353580672636928,10.496102,11.893693
6986333820330203136,10.498788,10.411807
6982933581946705920,10.500573,12.041431
6982935231214147584,10.50075,12.307454
5114041709026891776,10.501486,10.182348
6368091622027319296,10.502156,10.48743
6982929733656008704,10.503567,12.911568
6986331621306947584,10.505414,10.173121
6983023467022276608,10.506484,12.954572
6986370928847640576,10.508003,11.411247
6982925610487404544,10.508923,12.441238
6986370653969733632,10.510677,11.454692
6982926709999032320,10.512601,12.504661
5114043633172240384,10.513516,10.478942
6368091347149412352,10.516307,10.461541
6986349213492992000,10.517046,12.10794
12432298788634515456,10.51827,12.246676
12432303461558933504,10.519944,12.626301
5114044732683868160,10.520909,10.439717
6982925885365311488,10.521435,12.829795
5114054078532704256,10.525876,10.573288
12432297414244980736,10.527925,12.210178
5114056002678052864,10.529342,10.091847
6981978929633712128,10.530276,11.349692
6982925060731590656,10.53057,12.467072
6983022092632741888,10.530998,12.923954
6368092446661040128,10.531968,10.775616
6986349763248805888,10.532175,12.121599
6368362651643566080,10.532206,11.260306
6982933856824612864,10.532538,12.167832
6368363476277286912,10.534651,11.239629
6982934131702519808,10.534678,12.053166
6982918188783917056,10.535727,12.647502
6982920937562986496,10.536556,11.691292
5114052704143169536,10.539201,10.439086
5114046107073402880,10.539285,10.02029
6981706800505837568,10.539948,10.493165
12432294115710097408,10.540522,12.707439
6986350862760433664,10.541513,12.040444
6986351962272061440,10.544423,11.977662
6986350038126712832,10.545219,12.01146
6368362376765659136,10.546047,11.328642
6368361552131938304,10.546054,11.371811
6982920662685079552,10.548198,12.009641
12432295764977539072,10.54934,12.898909
6981976180854642688,10.550479,11.720036
12437989310426535936,10.550875,10.225786
5114056552433866752,10.552893,10.088665
6982920112929265664,10.553471,11.715146
6986329697161598976,10.553563,10.946899
6986331071551133696,10.555133,10.197105
6983023741900183552,10.555815,12.961
6982916264638568448,10.555869,12.417357
5114053803654797312,10.556184,10.483718
6368359902864496640,10.55728,11.730991
6986351412516247552,10.557374,12.031906
6368361277254031360,10.557982,11.677464
6981977555244177408,10.559961,11.40046
6368360727498217472,10.560041,11.484686
6982917639028103168,10.560928,12.656396
6368104816166852608,10.562413,10.334361
6982924236097869824,10.562505,12.335554
12432301812291491840,10.563405,12.50082
6982923411464148992,10.563817,12.263228
5114052429265262592,10.56548,10.661162
12432300163024050176,10.565779,12.31961
6986369279580198912,10.571048,11.598079
6982919013417637888,10.57279,12.890166
6368364850666821632,10.573743,11.109242
12432301537413584896,10.574042,12.552839
6986366255923222528,10.574484,11.961682
6986332445940668416,10.574806,10.214825
6982923961219962880,10.576698,12.379095
6986327223260436480,10.576946,10.668328
6368105091044759552,10.577221,10.36591
6982919288295544832,10.578144,12.859851
6982921212440893440,10.58079,11.987828
12437988210914908160,10.585089,10.658482
6368360452620310528,10.589828,11.754563
6982919838051358720,10.589838,11.545812
6986332171062761472,10.590877,10.446953
6368364300911007744,10.592493,11.313877
6981976455732549632,10.593961,11.588112
6981709549284907008,10.594928,11.046363
12432299338390329344,10.594974,12.418555
5114057102189680640,10.59508,10.0222
5114052154387355648,10.597332,10.462684
12432295215221725184,10.597424,12.798819
6982922037074614272,10.598306,11.808139
6981979204511619072,10.599632,11.348157
12438001405054441472,10.601652,10.492694
6368361827009845248,10.60167,11.387951
5114053528776890368,10.601831,10.243338
6982914065615312896,10.602296,12.376166
6981975081343014912,10.603042,11.68845
6981708724651186176,10.605581,10.938647
12432297139367073792,10.606368,12.352548
6982921762196707328,10.607151,11.928863
6981707900017465344,10.609441,10.821976
6982924510975776768,10.609573,12.341325
6986366530801129472,10.609739,12.022164
5114054353410611200,10.609973,10.42241
6982916539516475392,10.61134,12.611441
6982923136586242048,10.613317,12.018756
12432301262535677952,10.614031,12.545592
12438000855298627584,10.615442,10.335801
6368360177742403584,10.615565,11.571922
6982920387807172608,10.615615,11.597008
6986326398626715648,10.616256,10.800923
6981978654755805184,10.616791,11.392344
12438001130176534528,10.616816,10.303964
6368091072271505408,10.617581,10.725616
6982915989760661504,10.619041,12.497119
6368091896905226240,10.619275,10.903311
5114054903166425088,10.619369,10.255443
6986334644963923968,10.620793,10.535259
12432297689122887680,10.62089,12.307804
6986330246917412864,10.622151,10.264494
6368363201399379968,10.622866,11.456641
6982924785853683712,10.624079,12.317354
6982921487318800384,10.62533,11.724171
5114054628288518144,10.627703,10.233444
6986348113981364224,10.62797,12.329414
6981709824162813952,10.629347,10.952134
6986367080556943360,10.629923,12.019005
5114052979021076480,10.63008,10.596654
6981710373918627840,10.631145,11.073967
6982919563173451776,10.632138,11.511206
6982922861708335104,10.63307,12.135916
12437998381397465088,10.633573,10.501429
6982915714882754560,10.633737,12.614722
6981708449773279232,10.634114,10.919141
12438001679932348416,10.634805,10.030564
6981706525627930624,10.63503,10.484392
6982917913906010112,10.635818,12.889855
6986371478603454464,10.637322,11.520483
6982914340493219840,10.637843,12.390625
6981977005488363520,10.638563,11.604574
12438000580420720640,10.638951,10.235559
12438000030664906752,10.641902,10.327003
6986371753481361408,10.642182,11.213266
12432302087169398784,10.643552,12.249413
6982918463661824000,10.644188,12.923751
6986324199603460096,10.645075,10.352675
6368364026033100800,10.645125,11.206351
6986331896184854528,10.645652,10.316433
6986373952504616960,10.647581,11.167835
12432293016198469632,10.649892,12.720333
6986363232266246144,10.651915,12.200528
6986372303237175296,10.651958,11.653085
6368359627986589696,10.652807,11.474819
6982917364150196224,10.653092,12.882174
6981977280366270464,10.655957,11.512281
6983030338969950208,10.656873,12.962012
6982923686342055936,10.657035,12.204956
6982912416347871232,10.658037,12.316774
5114053253898983424,10.658748,10.7327
12432298238878701568,10.659841,12.002928
12432302362047305728,10.663084,12.175346
5114055452922238976,10.663755,10.428355
6986366805679036416,10.663917,11.913563
6982922311952521216,10.664731,11.987236
12432287793518237696,10.665773,12.246171
5114055727800145920,10.666623,10.200674
6982917089272289280,10.666702,12.756691
6982916814394382336,10.668027,12.543889
6981707350261651456,10.668135,10.604237
12432297964000794624,10.668327,11.9342
5114064798771075072,10.668439,10.59057
6986363507144153088,10.671081,12.261119
12432292741320562688,10.671652,12.729662
6986367630312757248,10.674079,12.138413
12432299063512422400,10.674237,11.903897
6982918738539730944,10.675091,12.862746
6986328047894157312,10.67658,10.865593
6986328872527878144,10.676627,10.908643
6982910217324615680,10.677369,11.876967
6986331346429040640,10.678986,10.144025
12432293565954283520,10.67928,12.782552
6986363782022060032,10.679795,12.304495
6986367355434850304,10.680424,11.880247
12432293291076376576,10.680866,12.887238
6982912966103685120,10.683481,12.306781
12432287518640330752,10.685011,11.923253
5114056827311773696,10.685159,10.211722
6982922586830428160,10.685568,11.742472
6982911866592057344,10.686378,12.282934
12437999755786999808,10.687066,10.246308
6368364575788914688,10.687137,11.226989
6986365706167408640,10.687553,12.196988
12432291366931027968,10.688084,12.389663
6982913240981592064,10.688654,12.202216
6986364881533687808,10.691077,12.28933
6368093271294760960,10.692355,10.627051
12437998656275372032,10.692373,10.720124
6981707625139558400,10.696247,10.724948
6986320351312762880,10.69747,10.248701
6981705700994209792,10.699334,10.974803
12432290817175214080,10.699429,12.433632
6981710099040720896,10.699778,11.04356
5114066173160609792,10.700652,10.232213
6982913515859499008,10.703819,12.311673
6368093821050574848,10.705014,10.655123
6986329972039505920,10.705326,10.686611
6986327773016250368,10.706955,10.809454
12432293840832190464,10.708664,12.952641
12432289717663586304,10.708707,12.348292
6982909667568801792,10.709226,11.66195
6986372028359268352,10.709623,11.563204
6981708174895372288,10.709762,10.797981
6368094920562202624,10.711129,10.860379
6368362926521473024,10.71337,11.413595
5114066722916423680,10.713655,10.338867
12437998931153278976,10.714162,10.665095
12432291916686841856,10.716571,12.605219
12432294665465911296,10.717116,12.839858
6982915165126940672,10.718238,12.714252
6982906918789732352,10.721404,12.844456
6982915440004847616,10.722549,12.550525
6986322550336018432,10.722754,10.256893
5114067547550144512,10.722846,10.139505
5114063149503633408,10.72508,10.635096
6982907743423453184,10.725479,12.94704
6986321175946483712,10.725827,10.41812
6982914890249033728,10.725873,12.502476
12438000305542813696,10.727971,10.035799
6986321725702297600,10.728863,10.220621
6986367905190664192,10.729119,11.919689
6368095195440109568,10.730118,11.116402
12432292466442655744,10.731726,12.634831
5114065898282702848,10.733374,10.215056
6982914615371126784,10.73353,12.39536
6986364606655780864,10.734874,12.096721
6982906369033918464,10.735406,12.817269
6986325573992994816,10.736173,10.669723
6981980304023246848,10.737267,11.302997
6982909117812987904,10.737958,11.583057
6981710923674441728,10.740376,11.01796
6986369829336012800,10.741384,11.74163
6982908293179267072,10.74515,12.929654
12432283395471726592,10.74741,12.786731
12437999206031185920,10.747867,10.706239
12432291641808934912,10.747878,12.587876
6982910492202522624,10.749379,11.743576
12432288893029865472,10.749427,12.237215
6983033912382740480,10.751622,12.995926
6982907468545546240,10.75443,12.84952
12432288618151958528,10.755045,12.091198
6986372578115082240,10.755592,11.440895
12432292191564748800,10.756505,12.639873
5114065073648982016,10.757602,10.264237
12432291092053121024,10.758285,12.55684
6982911316836243456,10.75929,12.150248
12438011575536998400,10.759628,10.312378
6982904170010662912,10.763008,12.703608
6983029514336229376,10.764168,12.946204
6986321450824390656,10.764919,10.412922
12432286968884516864,10.767884,11.94981
12432288343274051584,10.768612,12.424196
12432287243762423808,10.76915,11.994256
6982908842935080960,10.771244,11.55931
6986368729824385024,10.772495,11.790662
6368093546172667904,10.773375,10.873847
6986372852992989184,10.774501,11.353571
5114063424381540352,10.774681,10.614458
6368095470318016512,10.775024,10.99246
6986318427167414272,10.775969,10.665519
6982911591714150400,10.776259,11.919054
12432281196448471040,10.776444,12.71192
5114065623404795904,10.777602,10.416553
6982903620254849024,10.780864,12.540681
6982903070499035136,10.781464,12.565551
5114066997794330624,10.781484,10.3271
12432286419128702976,10.782019,11.971268
6982912141469964288,10.783245,12.0127
6986373677626710016,10.784918,11.218178
12438010476025370624,10.785095,10.463389
5114063974137354240,10.787142,10.584892
6982907193667639296,10.78759,12.82998
6986323100091832320,10.787919,10.587071
12432282845715912704,10.788413,12.782739
6982911041958336512,10.790027,11.781416
6986373127870896128,10.792264,11.355157
6986323374969739264,10.79347,10.17165
6982909392690894848,10.794683,11.62776
6982903895132755968,10.796996,12.415343
12438012125292812288,10.797258,10.186529
5114064523893168128,10.797886,10.400865
6986364056899966976,10.798617,12.388968
6986327498138343424,10.799018,11.076404
12438066001362573312,10.79915,10.549289
6982910767080429568,10.79928,11.904721
6982905819278104576,10.800308,12.742407
12432286694006609920,10.800723,11.936095
12437999480909092864,10.80148,10.708744
12432289992541493248,10.801989,12.567001
12432283670349633536,10.802433,12.764472
6982913790737405952,10.805468,12.295857
6986322275458111488,10.805471,10.52513
6986382473719732224,10.806023,11.392818
6982909942446708736,10.809939,11.643352
6986381923963918336,10.810532,11.296018
6982904994644383744,10.81093,12.479733
6986365156411594752,10.812268,12.29166
6986322825213925376,10.815412,10.307684
6986318976923228160,10.81908,10.794772
5114063699259447296,10.820086,10.604491
6986322000580204544,10.823276,10.59341
6982912691225778176,10.824608,12.035331
6986318702045321216,10.828632,11.07003
6982908018301360128,10.829412,12.481251
6982904444888569856,10.838176,12.41314
6982899771964151808,10.838266,11.637052
12432282021082191872,10.841187,12.615477
12432286144250796032,10.843606,11.860143
12432283945227540480,10.846003,12.861531
6986368454946478080,10.846578,11.998885
6986318152289507328,10.847758,11.011489
6982898397574617088,10.847935,11.829866
6986383573231360000,10.848279,11.341596
6983044907499018240,10.849403,12.932074
6982908568057174016,10.849415,11.487714
12432289442785679360,10.851497,12.552545
6986365431289501696,10.851584,12.360017
6986383848109266944,10.851883,11.380922
5114067272672237568,10.853373,10.306862
6982902520743221248,10.853906,12.354762
6986364331777873920,10.855249,12.415032
