#Table1
objid,ra,dec
1237678859549605978,10.0033158126374,12.8633915844744
1237678919672070460,10.0033262986629,12.4594078537464
1237678906786840853,10.0033294386041,10.1351301992009
1237679319630545282,10.0033449165787,10.5950716294957
1237679320167350944,10.0033844822276,11.0869084051462
1237678919672070203,10.0033912948668,12.5291836400541
1237678907860582808,10.0034306995354,10.8070115780485
1237678859012735800,10.0034310195425,12.3416066399653
1237678919135199918,10.0034498571662,12.1728983655106
1237678859549606794,10.0034544407833,12.6881779109054
1237678907323712433,10.0034578069759,10.566461569156
1237678857938993797,10.0034604779518,11.6145679946715
1237678907323711617,10.003467492635,10.484824861569
1237678907323711987,10.0034767127357,10.5071525370229
1237679320167350477,10.0034882315992,11.0830635106651
1237678919135199434,10.0035081492541,12.0925140387881
1237678918598328460,10.0035186746112,11.712041244703
1237678919135199621,10.0035205047005,12.1776355365707
1237678857939059442,10.0035231486677,11.5147177132822
1237678918598329302,10.0035233094711,11.6144629315737
1237678859012735866,10.0035296731982,12.3263543190743
1237679319093674025,10.0035400790168,10.2710775586658
1237678859549606590,10.0035513477713,12.8106349259136
1237678857939059223,10.0035599848205,11.4666088611374
1237678907860583035,10.0035729990082,10.9071707637134
1237679319630545101,10.0035733549939,10.7064181380026
1237679320167350950,10.0035793828556,11.0984034106776
1237679319093674485,10.0036066221269,10.211783696874
1237678907323712519,10.0036162128753,10.4179631837189
1237678919672070461,10.0036419197223,12.460088312184
1237678907323711749,10.0036478096661,10.5851570499479
1237678859012801183,10.1415266070826,12.2912198284033
1237678859549671640,10.1415416354527,12.8374563620111
1237678906786906631,10.1415434686042,10.053720918121
1237679319093674211,10.1415555040109,10.2078160515163
1237678907860648356,10.141575191308,10.9752184828179
1237678918598394469,10.1415909164596,11.7502894205419
1237678907860648606,10.141595135443,10.9374674809404
1237678919135265262,10.1416119253381,12.237782773047
1237678907323778042,10.1416299414118,10.4648143532515
1237679319630545223,10.1416299685167,10.728274927717
1237678857939059602,10.1416406262244,11.4928238318672
1237678918598394070,10.1416458080305,11.8152044197561
1237678918061523062,10.1416484541587,11.3060357630951
1237679319630546008,10.1416747408927,10.5940496009591
1237678859549671641,10.1416787777516,12.7669346074933
1237678857939059183,10.1417068303638,11.5131545201703
1237678859549672191,10.141729127891,12.8260776070225
1237678858475929712,10.1417321280366,11.9381673972447
1237678920209007025,10.141740355312,12.9260234881006
1237678907323712276,10.0037009362633,10.5419022649385
1237679319093674053,10.0037478332486,10.2767796653899
1237679319630546048,10.003749193389,10.6465935411363
1237679319630545747,10.0037513496595,10.616664544339
1237679320167350476,10.0038129169227,11.083618672697
1237678918598329054,10.0038149797028,11.6518274072408
1237678906786841167,10.0038149993003,10.0550825488203
1237678919672070769,10.0038496984509,12.6360399968163
1237678920208941916,10.0038529696747,12.9095925367532
1237679319630544906,10.003910095948,10.7671299544269
1237678859549606059,10.0039190627321,12.6772305833383
1237678859549606796,10.0039247117006,12.6861135210045
1237678858475864650,10.0039319425053,11.9926967522817
1237678859549606790,10.0039319861627,12.8390207273995
1237678918061458031,10.0039442250055,11.2711884894275
1237678919672071026,10.0039486534167,12.463001693749
1237678906786840854,10.0039818451743,10.0774014975101
1237679319093674486,10.0040086362106,10.197402455419
1237678859012735668,10.0040203596154,12.2660743909082
1237678859012735667,10.0040233186037,12.2716568391877
1237679320167350945,10.0040480222245,11.1155465163372
1237678919672070775,10.0040546310297,12.5419524568426
1237678919135199624,10.0040768800466,12.1639876467534
1237678919672070781,10.0040838593142,12.4807829208902
1237678857938993799,10.0040962618289,11.604434119405
1237679319630545746,10.0041004940795,10.7129648861669
1237678859549606918,10.004126011727,12.7688235983256
1237678919135199630,10.0041314926838,12.0414102802713
1237678906786840855,10.0041346435864,10.0568047095591
1237678907860582810,10.0041434293246,10.8476850241545
1237679320167416089,10.0041525355917,11.0345924045443
1237678919135199464,10.0041594492179,12.221889528264
1237679319093674390,10.0041698047513,10.2174591930151
1237678907860582806,10.0041769122657,10.9203794747566
